;Id;N_victimas;A�o;Mes;Dia;Hora;Calle;Altura;Cruce;Direcci�n;Comuna;Latitud;Longitud;Victima;Acusado
0;2016-0001;1.0;2016.0;1.0;1.0;4.0;PIEDRA BUENA AV.;;FERNANDEZ DE LA CRUZ, F., GRAL. AV.;PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.;8.0;-58.47533969;-34.68757022;MOTO;AUTO
1;2016-0002;1.0;2016.0;1.0;2.0;1.0;PAZ, GRAL. AV.;;DE LOS CORRALES AV.;PAZ, GRAL. AV. y DE LOS CORRALES AV.;9.0;-58.50877521;-34.66977709;AUTO;PASAJEROS
2;2016-0003;1.0;2016.0;1.0;3.0;7.0;ENTRE RIOS AV.;2034.0;SD;ENTRE RIOS AV. 2034;1.0;-58.39040293;-34.63189362;MOTO;AUTO
3;2016-0004;1.0;2016.0;1.0;10.0;0.0;LARRAZABAL AV.;;VILLEGAS, CONRADO, GRAL.;LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.;8.0;-58.46503904;-34.68092974;MOTO;SD
4;2016-0005;1.0;2016.0;1.0;21.0;5.0;SAN JUAN AV.;;SAENZ PE?A, LUIS, PRES.;SAN JUAN AV. y SAENZ PEÑA, LUIS, PRES.;1.0;-58.38718297;-34.6224663;MOTO;PASAJEROS
5;2016-0008;1.0;2016.0;1.0;24.0;18.0;27 DE FEBRERO AV.;;ESCALADA AV.;27 DE FEBRERO AV. y ESCALADA AV.;8.0;-58.44451316;-34.68475866;MOTO;OBJETO FIJO
6;2016-0009;1.0;2016.0;1.0;24.0;19.0;NOGOYA;;GONZALEZ, JOAQUIN V.;NOGOYA y GONZALEZ, JOAQUIN V.;11.0;-58.50095869;-34.6082544;MOTO;AUTO
7;2016-0010;1.0;2016.0;1.0;29.0;15.0;PAZ, GRAL. AV.;;DE LOS CORRALES AV.;PAZ, GRAL. AV. y DE LOS CORRALES AV.;9.0;-58.50877521;-34.66977709;MOTO;AUTO
8;2016-0012;1.0;2016.0;2.0;8.0;1.0;BELGRANO AV.;;IRIGOYEN, BERNARDO DE;BELGRANO AV. e IRIGOYEN, BERNARDO DE;1.0;-58.38048577;-34.61303893;MOTO;CARGAS
9;2016-0013;1.0;2016.0;2.0;10.0;11.0;ENTRE RIOS AV.;1366.0;SD;ENTRE RIOS AV. 1366;1.0;-58.39114932;-34.62477387;PEATON;AUTO
10;2016-0015;1.0;2016.0;2.0;14.0;5.0;SCALABRINI ORTIZ, RAUL AV.;;VERA;SCALABRINI ORTIZ, RAUL AV. y VERA;15.0;-58.4376002;-34.59912758;PEATON;AUTO
11;2016-0016;1.0;2016.0;2.0;14.0;22.0;REGIMIENTO DE PATRICIOS AV.;;QUINQUELA MARTIN, BENITO;REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO;4.0;-58.36882665;-34.64291993;MOTO;AUTO
12;2016-0017;1.0;2016.0;2.0;15.0;16.0;ACOSTA, MARIANO;;JANER, ANA MARIA;ACOSTA, MARIANO y JANER, ANA MARIA;8.0;-58.44989671;-34.65970435;PEATON;MOTO
13;2016-0019;1.0;2016.0;2.0;17.0;9.0;DE LA TORRE, LISANDRO;;GARCIA GRANDE DE ZEQUEIRA, SEVERO;DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO;9.0;-58.50990884;-34.65468721;PEATON;PASAJEROS
14;2016-0020;1.0;2016.0;2.0;17.0;16.0;SUIPACHA;156.0;SD;SUIPACHA 156;1.0;-58.37952223;-34.60653282;PEATON;AUTO
15;2016-0021;1.0;2016.0;2.0;17.0;23.0;DIRECTORIO AV.;;CURAPALIGUE;DIRECTORIO AV. y CURAPALIGUE;7.0;-58.45157703;-34.63063795;AUTO;AUTO
16;2016-0022;1.0;2016.0;2.0;21.0;6.0;9 DE JULIO AV.;;ALSINA, ADOLFO;9 DE JULIO AV. y ALSINA, ADOLFO;1.0;-58.38144696;-34.61079875;MOTO;AUTO
17;2016-0025;1.0;2016.0;2.0;28.0;4.0;PAZ, GRAL. AV.;;27 DE FEBRERO AV.;PAZ, GRAL. AV. y 27 DE FEBRERO AV.;8.0;-58.46244952;-34.70524971;AUTO;AUTO
18;2016-0026;1.0;2016.0;2.0;28.0;7.0;HOLMBERG;;VEDIA;HOLMBERG y VEDIA;12.0;-58.49216191;-34.54738649;AUTO;OBJETO FIJO
19;2016-0027;1.0;2016.0;2.0;28.0;9.0;CURAPALIGUE AV.;;DIAZ, AVELINO;CURAPALIGUE AV. y DIAZ, AVELINO;7.0;-58.44497874;-34.63852623;AUTO;AUTO
20;2016-0028;1.0;2016.0;3.0;2.0;10.0;VIAMONTE;;9 DE JULIO AV.;VIAMONTE y 9 DE JULIO AV.;1.0;-58.38199706;-34.60028648;PEATON;CARGAS
21;2016-0029;1.0;2016.0;3.0;4.0;17.0;CABILDO AV.;;DEHEZA;CABILDO AV. y DEHEZA;12.0;-58.47378664;-34.54153077;PEATON;PASAJEROS
22;2016-0031;1.0;2016.0;3.0;8.0;12.0;PAZ, GRAL. AV.;;ROCA, CNEL. AV.;PAZ, GRAL. AV. y ROCA, CNEL. AV.;8.0;-58.47064556;-34.69843756;MOTO;PASAJEROS
23;2016-0034;1.0;2016.0;3.0;12.0;12.0;ALCORTA, AMANCIO AV.;;BONAVENA, OSCAR NATALIO;ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO;4.0;-58.40623949;-34.65076549;PEATON;PASAJEROS
24;2016-0035;1.0;2016.0;3.0;13.0;6.0;CORRIENTES AV.;;CALLAO AV.;CORRIENTES AV. y CALLAO AV.;3.0;-58.39228965;-34.60443527;MOTO;PASAJEROS
25;2016-0036;1.0;2016.0;3.0;14.0;0.0;HERRERA;;VALLE, ARISTOBULO DEL;HERRERA y VALLE, ARISTOBULO DEL;4.0;-58.37813396;-34.63668504;MOTO;PASAJEROS
26;2016-0037;1.0;2016.0;3.0;19.0;11.0;LAFUENTE AV.;;QUIRNO;LAFUENTE AV. y QUIRNO;7.0;-58.46275892;-34.64358293;MOTO;MOTO
27;2016-0038;1.0;2016.0;3.0;21.0;8.0;PAZ, GRAL. AV.;;ZUVIRIA;PAZ, GRAL. AV. y ZUVIRIA;8.0;-58.49683458;-34.67892743;PEATON;PASAJEROS
28;2016-0039;1.0;2016.0;3.0;23.0;1.0;MITRE, BARTOLOME;;PUEYRREDON AV.;MITRE, BARTOLOME y PUEYRREDON AV.;3.0;-58.40603217;-34.6088396;MOTO;PASAJEROS
29;2016-0041;2.0;2016.0;3.0;29.0;11.0;DIRECTORIO AV.;;RIVERA INDARTE AV.;DIRECTORIO AV. y RIVERA INDARTE AV.;7.0;-58.4607655;-34.63350444;MOTO;CARGAS
30;2016-0043;1.0;2016.0;3.0;30.0;18.0;DELLEPIANE, LUIS, TTE. GRAL.;;MURGUIONDO;DELLEPIANE, LUIS, TTE. GRAL. y MURGUIONDO;8.0;-58.47832463;-34.67494416;PEATON;CARGAS
31;2016-0044;1.0;2016.0;3.0;31.0;19.0;MORENO, JOSE MARIA AV.;;BALBASTRO;MORENO, JOSE MARIA AV. y BALBASTRO;7.0;-58.43213235;-34.63693953;MOTO;MULTIPLE
32;2016-0045;1.0;2016.0;4.0;11.0;10.0;PAZ, GRAL. AV.;;DEL LIBERTADOR AV.;PAZ, GRAL. AV. y DEL LIBERTADOR AV.;13.0;-58.46743471;-34.53476874;MOTO;SD
33;2016-0047;1.0;2016.0;4.0;15.0;5.0;LIMA;1483.0;SD;LIMA 1483;1.0;-58.38247061;-34.62571878;PEATON;PASAJEROS
34;2016-0048;1.0;2016.0;4.0;15.0;17.0;CORRIENTES AV.;;DORREGO AV.;CORRIENTES AV. y DORREGO AV.;15.0;-58.44759966;-34.5917024;PEATON;PASAJEROS
