,Id,Rol,Victima,Sexo,Edad,Dias_hospitalizado,N_victimas,Año,Mes,Dia,Hora,Calle,Altura,Cruce,Dirección,Comuna,Latitud,Longitud,Acusado
0,2016-0001,CONDUCTOR,MOTO,MASCULINO,19,0.0,1.0,2016.0,1.0,1.0,4.0,PIEDRA BUENA AV.,,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.","PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8.0,-58.47533969,-34.68757022,AUTO
1,2016-0002,CONDUCTOR,AUTO,MASCULINO,70,0.0,1.0,2016.0,1.0,2.0,1.0,"PAZ, GRAL. AV.",,DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9.0,-58.50877521,-34.66977709,PASAJEROS
2,2016-0003,CONDUCTOR,MOTO,MASCULINO,30,0.0,1.0,2016.0,1.0,3.0,7.0,ENTRE RIOS AV.,2034.0,SD,ENTRE RIOS AV. 2034,1.0,-58.39040293,-34.63189362,AUTO
3,2016-0004,CONDUCTOR,MOTO,MASCULINO,18,,1.0,2016.0,1.0,10.0,0.0,LARRAZABAL AV.,,"VILLEGAS, CONRADO, GRAL.","LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",8.0,-58.46503904,-34.68092974,SD
4,2016-0005,CONDUCTOR,MOTO,MASCULINO,29,11.0,1.0,2016.0,1.0,21.0,5.0,SAN JUAN AV.,,"SAENZ PE?A, LUIS, PRES.","SAN JUAN AV. y SAENZ PEÃA, LUIS, PRES.",1.0,-58.38718297,-34.6224663,PASAJEROS
5,2016-0008,CONDUCTOR,MOTO,MASCULINO,30,0.0,1.0,2016.0,1.0,24.0,18.0,27 DE FEBRERO AV.,,ESCALADA AV.,27 DE FEBRERO AV. y ESCALADA AV.,8.0,-58.44451316,-34.68475866,OBJETO FIJO
6,2016-0009,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,29,2.0,1.0,2016.0,1.0,24.0,19.0,NOGOYA,,"GONZALEZ, JOAQUIN V.","NOGOYA y GONZALEZ, JOAQUIN V.",11.0,-58.50095869,-34.6082544,AUTO
7,2016-0010,CONDUCTOR,MOTO,MASCULINO,18,0.0,1.0,2016.0,1.0,29.0,15.0,"PAZ, GRAL. AV.",,DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9.0,-58.50877521,-34.66977709,AUTO
8,2016-0012,CONDUCTOR,MOTO,MASCULINO,22,0.0,1.0,2016.0,2.0,8.0,1.0,BELGRANO AV.,,"IRIGOYEN, BERNARDO DE","BELGRANO AV. e IRIGOYEN, BERNARDO DE",1.0,-58.38048577,-34.61303893,CARGAS
9,2016-0013,PEATON,PEATON,MASCULINO,16,0.0,1.0,2016.0,2.0,10.0,11.0,ENTRE RIOS AV.,1366.0,SD,ENTRE RIOS AV. 1366,1.0,-58.39114932,-34.62477387,AUTO
